Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;16036;"Administrative Science Quarterly";journal;"00018392, 19303815";17,357;Q1;191;33;89;3592;1116;83;12,71;108,85;United States;Northern America;"Johnson School at Cornell University";"1975-1987, 1989-1990, 1993-1994, 1996-2021";"Arts and Humanities (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
2;16929;"American Sociological Review";journal;"00031224, 19398271";5,944;Q1;208;43;126;3846;1408;121;10,77;89,44;United States;Northern America;"American Sociological Association";"1965-2021";"Sociology and Political Science (Q1)"
3;15557;"American Political Science Review";journal;"15375943, 00030554";5,816;Q1;182;141;246;9649;1800;235;7,23;68,43;United Kingdom;Western Europe;"Cambridge University Press";"1906-2021";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
4;15646;"Annual Review of Political Science";book series;"10942939, 15451577";5,468;Q1;113;22;79;2667;952;79;12,52;121,23;United States;Northern America;"Annual Reviews Inc.";"1998-2021";"Sociology and Political Science (Q1)"
5;16976;"Annual Review of Sociology";book series;"03600572, 15452115";5,406;Q1;186;29;88;4098;1034;55;10,51;141,31;United States;Northern America;"Annual Reviews Inc.";"1975, 1977, 1980-1981, 1983-2021";"Sociology and Political Science (Q1)"
6;15555;"American Journal of Political Science";journal;"00925853, 15405907";4,913;Q1;180;133;197;7460;1388;197;4,95;56,09;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1982, 1986, 1996-2021";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
7;21149;"Leadership Quarterly";journal;"10489843";4,907;Q1;163;67;156;8182;1852;151;8,98;122,12;United States;Northern America;"Elsevier Inc.";"1990-2021";"Applied Psychology (Q1); Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)"
8;145558;"Political Analysis";journal;"10471987, 14764989";4,712;Q1;73;55;111;2124;815;106;6,61;38,62;United Kingdom;Western Europe;"Cambridge University Press";"1989-1993, 2004-2021";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
9;144974;"Journal of Service Research";journal;"10946705, 15527379";4,010;Q1;130;50;92;3842;1086;86;8,84;76,84;United States;Northern America;"SAGE Publications Inc.";"1998-2021";"Information Systems (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)"
10;30020;"Journal of Organizational Behavior";journal;"10991379, 08943796";3,880;Q1;191;87;217;9431;2138;205;9,23;108,40;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1981-1982, 1984-2021";"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Psychology (miscellaneous) (Q1); Sociology and Political Science (Q1)"
11;15823;"Journal of Public Administration Research and Theory";journal;"14779803, 10531858";3,811;Q1;119;34;107;2749;773;106;5,52;80,85;United Kingdom;Western Europe;"Oxford University Press";"1991-2021";"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
12;30039;"Journal of Personality and Social Psychology";journal;"00223514";3,697;Q1;392;135;384;13260;3064;375;7,19;98,22;United States;Northern America;"American Psychological Association";"1965-2021";"Social Psychology (Q1); Sociology and Political Science (Q1)"
13;39139;"International Organization";journal;"15315088, 00208183";3,606;Q1;151;50;100;3930;612;100;5,31;78,60;United Kingdom;Western Europe;"Cambridge University Press";"1947-2021";"Law (Q1); Organizational Behavior and Human Resource Management (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
14;22838;"Political Communication";journal;"10584609, 10917675";3,371;Q1;90;40;155;2232;1087;115;6,42;55,80;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1980-2021";"Communication (Q1); Sociology and Political Science (Q1)"
15;15298;"Structural Equation Modeling";journal;"15328007, 10705511";3,302;Q1;109;86;204;3732;1255;204;4,37;43,40;United Kingdom;Western Europe;"Psychology Press Ltd";"1994-2021";"Decision Sciences (miscellaneous) (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Modeling and Simulation (Q1); Sociology and Political Science (Q1)"
16;13447;"Comparative Political Studies";journal;"15523829, 00104140";3,232;Q1;114;95;195;6979;1144;195;4,82;73,46;United States;Northern America;"SAGE Publications Inc.";"1968-2021";"Sociology and Political Science (Q1)"
17;10300153306;"International Journal of Press/Politics";journal;"19401612";3,096;Q1;70;77;86;4443;628;82;5,92;57,70;United States;Northern America;"SAGE Publications Inc.";"2003, 2008-2021";"Communication (Q1); Sociology and Political Science (Q1)"
18;16306;"New Media and Society";journal;"14614448, 14617315";3,055;Q1;124;369;524;22582;4884;520;6,92;61,20;United Kingdom;Western Europe;"SAGE Publications Ltd";"1999-2021";"Communication (Q1); Sociology and Political Science (Q1)"
